state,action,reward,state_0,state_1,mu,trials,correct,contrast_diff,subjective_obs,condition,contrast,value_a1,congruence,choice_cond
0,1,0,0.884545025936764,0.115454974063236,0.628181675312255,1,0,-0.068421052631579,-0.090561464667911,NaN,1,0.5,1,1
0,1,0,0.285603743606623,0.714396256393377,0.563720881839519,2,0,-0.0368421052631579,0.0413603332256322,NaN,1,0.445036657349643,1,1
0,0,1,0.75488034577434,0.24511965422566,0.631728989161801,3,1,-0.00526315789473684,-0.0506405454779679,NaN,1,0.532482400792605,1,1
1,1,1,0.149973995200523,0.850026004799477,0.705392288715393,4,1,0.0263157894736842,0.0775069151593913,NaN,1,0.407782856414842,1,1
1,1,1,0.0620959077566199,0.93790409224338,0.76701266695116,5,1,0.0473684210526316,0.11940023315048,NaN,1,0.320115752512591,1,1
0,0,1,0.968093143827558,0.0319068561724418,0.809061489642383,6,1,-0.068421052631579,-0.14826095671741,NaN,1,0.749973597429898,1,1
1,1,0,0.0703581127611921,0.929641887238808,0.719445090718713,7,1,0.1,0.113778045779927,NaN,1,0.234428476634418,1,1
0,0,1,0.698824659125674,0.301175340874326,0.741011904510373,8,1,-0.0578947368421053,-0.0379956116205422,NaN,1,0.587262190717902,1,1
1,1,1,0.206909009303251,0.793090990696749,0.767492732349191,9,1,0.0368421052631579,0.0603436967181613,NaN,1,0.358723164274689,1,1
1,1,1,0.35817891275023,0.64182108724977,0.779851602728264,10,1,0.0157894736842105,0.0263777778309073,NaN,1,0.424127779733652,1,1
0,0,0,0.780941574139831,0.219058425860169,0.741512656473103,11,1,-0.0578947368421053,-0.0571368434956387,NaN,1,0.657243899592066,1,1
1,1,1,0.225993977002298,0.774006022997702,0.764779860936375,12,1,0.0578947368421053,0.0553602191896187,NaN,1,0.36764815499239,1,1
1,1,1,0.347318393332512,0.652681606667488,0.7772864259548,13,1,0.0473684210526316,0.0285208328212798,NaN,1,0.41914597083808,1,1
1,0,0,0.660890380597693,0.339109619402307,0.759883876076962,14,0,0.0263157894736842,-0.0301601520279201,NaN,1,0.589225437212884,1,1
0,0,0,0.96217792209757,0.0378220779024295,0.674703304261257,15,1,-0.0368421052631579,-0.141040026733057,NaN,1,0.740225179663825,1,1
0,1,0,0.542368663362485,0.457631336637515,0.678974231452231,16,0,-0.00526315789473684,-0.00769480711300044,NaN,1,0.514803890973118,1,1
0,0,1,0.638140797796607,0.361859202203393,0.691869914049688,17,1,-0.00526315789473684,-0.0256577820684756,NaN,1,0.549447286235692,1,1
1,0,0,0.537533452288135,0.462466547711865,0.688066326390388,18,0,0.0157894736842105,-0.00681334610625002,NaN,1,0.514403080529025,1,1
0,0,0,0.634164549797084,0.365835450202916,0.673225049981534,19,1,-0.0157894736842105,-0.0248832221045164,NaN,1,0.550463668024316,1,1
1,1,1,0.0691581487298731,0.930841851270127,0.707318892407299,20,1,0.0789473684210526,0.114557024832317,NaN,1,0.350734797559191,1,1
0,1,0,0.476035648574538,0.523964351425462,0.705134263904664,21,0,-0.0157894736842105,0.00434563009609581,NaN,1,0.490063474410428,1,1
1,1,1,0.00936655340308333,0.990633446596917,0.736594044693122,22,1,0.0789473684210526,0.198291033310774,NaN,1,0.298708538170666,1,1
1,1,0,0.196350104089184,0.803649895910816,0.703623044942889,23,1,0.0473684210526316,0.0632390297946001,NaN,1,0.356316485911629,1,1
0,0,0,0.749285702892179,0.250714297107821,0.677851691206928,24,1,-0.0789473684210526,-0.0493050020804812,NaN,1,0.601520627767268,1,1
1,0,1,0.896345112331969,0.103654887668031,0.704319205555345,25,0,0.0368421052631579,-0.0957621925308554,NaN,1,0.640981297059681,1,1
0,0,1,0.595664938603164,0.404335061396836,0.531888312867721,1,1,-0.0263157894736842,-0.0175379556250778,NaN,1,0.5,0,1
0,0,1,0.607952206310055,0.392047793689945,0.566950496405625,2,1,-0.0157894736842105,-0.0198548780599205,NaN,1,0.506884827459152,0,1
1,1,1,0.0701108893401392,0.929889110659861,0.689937369910999,3,1,0.1,0.113937571198258,NaN,1,0.442437421283899,0,1
1,1,0,0.271987110897969,0.728012889102031,0.629317082748495,4,1,0.0263157894736842,0.0443883914839271,NaN,1,0.413383663076304,0,1
1,1,1,0.259326784492271,0.740673215507729,0.682267386708419,5,1,0.0578947368421053,0.0472849568498622,NaN,1,0.437753683749681,0,1
1,1,0,0.0867614006014094,0.913238599398591,0.557158711579886,6,1,0.0789473684210526,0.104153640083068,NaN,1,0.349360160801143,0,1
1,1,1,0.263024209113929,0.736975790886071,0.608269126077418,7,1,0.0473684210526316,0.0464303810963475,NaN,1,0.472909538234656,0,1
0,0,0,0.67403770078427,0.325962299215729,0.569235289017073,8,1,-0.0789473684210526,-0.0328243245021029,NaN,1,0.537685819536872,0,1
1,1,1,0.0539296803170582,0.946070319682942,0.654392186961953,9,1,0.1,0.125656284247702,NaN,1,0.438232384989627,0,1
0,0,1,0.878421360920246,0.121578639079754,0.705759077475759,10,1,-0.0894736842105263,-0.0880339960400109,NaN,1,0.61685060301119,0,1
1,1,0,0.0083050851995929,0.991694914800407,0.591812052381248,11,1,0.0894736842105263,0.203061336654572,NaN,1,0.297658615862292,0,1
0,1,0,0.157282001653396,0.842717998346605,0.538281116881609,12,0,-0.00526315789473684,0.0750553300617711,NaN,1,0.43706871436761,0,1
1,1,1,0.34748957175101,0.65251042824899,0.558546631219882,13,1,0.0894736842105263,0.0284868326800025,NaN,1,0.488323460941072,0,1
0,0,0,0.903012932583058,0.0969870674169423,0.499599629818563,14,1,-0.068421052631579,-0.0989245572124205,NaN,1,0.547190099081567,0,1
0,0,1,0.175112434542563,0.824887565457438,0.458582084082988,15,1,-0.0789473684210526,0.0694199135684347,NaN,1,0.500260150587058,0,1
1,0,1,0.189307296125862,0.810692703874138,0.422873352513079,16,0,0.068421052631579,0.0652323677527585,NaN,1,0.525736488570177,0,1
0,0,1,0.487996424737276,0.512003575262724,0.421504412263919,17,1,-0.00526315789473684,0.0021755231289659,NaN,1,0.501851591035742,0,1
1,0,0,0.0677899455845114,0.932210054415489,0.478681845298988,18,0,0.0789473684210526,0.115459927362637,NaN,1,0.567853164493575,0,1
0,0,0,0.479984513959874,0.520015486040126,0.480816180435464,19,1,-0.0263157894736842,0.00362876391917711,NaN,1,0.500853386455639,0,1
0,0,1,0.435430165357485,0.564569834642515,0.473975047751142,20,1,-0.0157894736842105,0.0117621231460663,NaN,1,0.502477392114188,0,1
1,0,0,0.0622447919551333,0.937755208044867,0.522675499731897,21,0,0.0578947368421053,0.119293182800494,NaN,1,0.522785116772113,0,1
0,0,1,0.9763545709861,0.0236454290139004,0.567410257030456,22,1,-0.0894736842105263,-0.160784976167065,NaN,1,0.521603155893366,0,1
1,1,1,0.0173620194751484,0.982637980524852,0.60537742372304,23,1,0.0473684210526316,0.173471737146895,NaN,1,0.434930499360319,0,1
1,1,0,0.0461854925923968,0.953814507407603,0.559988706354197,24,1,0.1,0.132436064650652,NaN,1,0.404356392722492,0,1
1,1,0,0.447265014056911,0.552734985943089,0.555896783254438,25,1,0.068421052631579,0.00958940389279416,NaN,1,0.493672992827335,0,1
0,0,0,0.929023354283166,0.0709766457168338,0.356992215238945,1,1,-0.0789473684210526,-0.113381081151317,NaN,0,0.5,1,1
0,1,0,0.781557168636721,0.218442831363279,0.441407771667267,2,0,-0.0789473684210526,-0.0572963596404432,NaN,0,0.419470266059335,1,1
0,1,0,0.497623085900141,0.502376914099859,0.440770147495628,3,0,-0.0157894736842105,0.000430716341053194,NaN,0,0.500278537387332,1,1
1,0,1,0.158604994434791,0.841395005565209,0.356033424789112,4,0,0.1,0.0746209551604675,NaN,0,0.540441551650713,1,1
0,1,0,0.918195901919435,0.0818040980805653,0.478953142409466,5,0,-0.0368421052631579,-0.10688205778998,NaN,0,0.379587536466861,1,1
1,1,1,0.776102419099289,0.223897580900711,0.419530121574519,6,1,0.00526315789473684,-0.0558933259824597,NaN,0,0.48837782340963,1,1
1,0,0,0.182569174741339,0.817430825258661,0.491275678586994,7,0,0.1,0.0671903275910598,NaN,0,0.551087239834129,1,1
0,1,0,0.721813294753672,0.278186705246328,0.53566453547429,8,0,-0.0368421052631579,-0.0429991273989415,NaN,0,0.496129659045782,1,1
0,1,0,0.0761253820743753,0.923874617925625,0.449317886147839,9,0,-0.00526315789473684,0.110189843332189,NaN,0,0.469765417304681,1,1
1,0,0,0.255013063355142,0.744986936644858,0.493322839211141,10,0,0.0894736842105263,0.0482914538915253,NaN,0,0.524832911630654,1,1
0,0,0,0.774540985047801,0.225459014952199,0.447941153218395,11,1,-0.068421052631579,-0.0554959430860493,NaN,0,0.496333691399408,1,1
0,1,0,0.878434726808262,0.121565273191738,0.513418542260177,12,0,-0.1,-0.0880393978602366,NaN,0,0.4605982490805,1,1
1,0,0,0.0698558101537476,0.930144189846252,0.575227909051924,13,0,0.0157894736842105,0.114102686773168,NaN,0,0.488456184021157,1,1
0,1,0,0.259413225041299,0.740586774958701,0.54182359668586,14,0,-0.0473684210526316,0.0472648936046394,NaN,0,0.463802319948622,1,1
1,1,1,0.205435510805812,0.794564489194188,0.577862558805927,15,1,0.0578947368421053,0.0607414077940151,NaN,0,0.475360507211932,1,1
1,1,1,0.17094117012811,0.82905882987189,0.613967386194152,16,1,0.00526315789473684,0.0706980369049383,NaN,0,0.448757275016981,1,1
1,0,1,0.763348291439062,0.236651708560938,0.640237351386765,17,0,0.0157894736842105,-0.0526994812914293,NaN,0,0.560026232868012,1,1
